37000001,8.2,7.25,6.4,8.5,8.25,5.75,0,0,0,True
37000002,7.2,8.5,0,0,0,0,5.0,6.0,8.0,False
37000003,7.0,8.0,4.4,0,0,0,9.0,6.25,6.75,False
37000004,5.2,6.75,5.4,0,0,0,6.75,6.0,6.0,False
37000005,7.0,8.25,7.2,0,0,0,8.5,8.0,9.0,False
37000006,8.0,6.25,6.2,8.25,9.5,6.75,0,0,0,True
37000007,8.2,6.25,7.4,5.25,9.0,8.0,0,0,0,True
37000008,7.6,7.5,0,7.0,6.75,6.75,0,0,0,True
37000009,8.6,7.75,9.2,8.25,6.5,7.5,0,0,0,True
37000010,8.8,7.5,9.8,5.5,9.25,7.0,0,0,0,True
37000011,0,7.0,4.6,0,0,0,7.25,8.25,0,False
37000012,5.8,9.0,9.2,0,0,0,9.75,9.75,9.75,False
37000013,8.4,8.75,8.4,7.25,7.25,5.75,0,0,0,True
37000014,9.0,5.75,8.4,8.25,3.5,4.0,0,0,0,True
37000015,7.8,8.75,8.8,0,0,0,6.25,7.5,8.25,False
37000016,6.0,6.0,6.4,0,0,0,0,0,0,False
37000017,8.8,7.25,7.2,5.25,8.75,8.5,0,0,0,True
37000018,8.2,8.5,0,6.5,9.25,8.75,0,0,0,True
37000020,7.0,8.0,9.0,0,0,0,7.25,6.25,8.75,False
37000021,8.4,7.0,9.2,8.25,9.0,6.25,0,0,0,True
37000022,4.8,5.0,9.0,0,0,0,0,0,0,False
37000023,0,7.25,0,0,0,0,8.25,8.25,0,False
37000024,0,6.75,0,0,0,0,8.75,8.75,0,False
37000025,6.4,7.5,9.4,6.5,7.25,6.5,0,0,0,True
37000026,8.2,8.25,10.0,9.25,8.25,7.75,0,0,0,True
37000027,8.4,6.0,5.0,3.5,9.25,8.25,0,0,0,True
37000028,8.4,7.25,9.0,8.5,6.5,7.0,0,0,0,True
37000029,7.0,7.0,0,0,0,0,9.0,9.0,0,False
37000030,0,4.5,0,0,0,0,5.0,5.75,0,False
37000031,3.4,5.25,5.0,0,0,0,4.75,4.0,7.75,False
37000032,3.4,5.5,3.6,0,0,0,4.25,5.25,7.25,False
37000033,7.8,0,0,8.0,8.75,7.25,0,0,0,True
37000034,3.6,6.5,0,0,0,0,6.0,7.0,0,False
37000035,0,5.5,0,0,0,0,6.5,7.25,0,False
37000036,6.6,8.5,0,4.75,7.0,7.0,0,0,0,True
37000037,7.8,9.25,0,0,0,0,8.25,9.25,9.5,False
37000038,3.8,5.75,2.4,0,0,0,5.75,5.25,7.25,False
37000040,8.4,7.0,0,6.25,9.25,9.0,0,0,0,True
37000042,8.2,0,0,7.0,7.5,0,0,0,0,True
37000043,8.0,0,0,7.25,6.5,0,0,0,0,True
37000044,8.4,7.0,8.4,7.75,6.5,7.5,0,0,0,True
37000045,0,6.75,0,0,0,0,9.5,9.75,0,False
37000046,0,7.25,0,0,0,0,9.75,9.25,0,False
37000047,8.4,7.25,7.8,5.5,9.25,9.0,0,0,0,True
37000048,4.4,3.75,3.6,0,0,0,4.5,5.75,5.75,False
37000049,0,8.25,0,0,0,0,9.25,9.25,0,False
37000050,6.0,0,0,4.5,6.25,0,0,0,0,True
37000051,5.8,0,7.4,5.25,0,0,0,0,0,True
37000052,7.2,7.75,7.0,4.5,7.25,7.5,0,0,0,True
37000053,0,7.0,0,0,0,0,10.0,9.75,0,False
37000054,3.6,7.5,3.8,0,0,0,7.0,7.0,7.0,False
37000055,8.0,9.0,8.6,0,0,0,8.0,8.75,9.5,False
37000056,7.4,8.5,8.8,0,0,0,7.75,8.25,9.25,False
37000057,8.0,8.0,7.6,6.5,8.5,7.5,0,0,0,True
37000058,7.2,8.0,0,7.5,6.5,5.75,0,0,0,True
37000059,0,7.0,0,0,0,0,9.75,9.0,0,False
37000060,8.2,0,0,0,7.5,6.0,0,0,0,True
37000061,5.2,6.75,3.8,0,0,0,8.75,8.0,8.25,False
37000063,3.4,6.5,3.8,0,0,0,0,0,0,False
37000064,7.6,0,0,6.25,7.0,0,0,0,0,True
37000065,7.8,8.25,7.2,7.5,6.5,8.5,0,0,0,True
37000066,3.6,7.25,5.0,0,0,0,6.25,6.5,8.25,False
37000067,0,6.5,0,0,0,0,5.5,7.0,0,False
37000068,0,7.0,0,0,0,0,7.25,7.25,0,False
37000069,6.6,0,0,4.0,5.5,0,0,0,0,True
37000070,4.0,8.0,3.6,0,0,0,5.25,5.5,6.0,False
37000071,0,6.0,0,0,0,0,8.5,8.75,0,False
37000072,5.8,0,5.4,0,5.0,4.5,0,0,0,True
37000073,0,9.0,8.6,0,0,0,0,0,0,False
37000074,5.6,8.5,6.2,0,0,0,7.75,8.0,9.0,False
37000075,0,3.75,0,0,0,0,6.5,7.0,0,False
37000076,0,6.25,0,0,0,0,6.5,7.75,0,False
37000077,7.8,7.0,6.8,4.0,9.0,8.75,0,0,0,True
37000078,7.4,8.0,9.8,0,0,0,8.5,8.5,9.75,False
37000079,0,5.0,0,0,0,0,7.0,7.25,0,False
37000080,7.4,7.25,8.6,6.5,8.5,6.5,0,0,0,True
37000081,0,5.25,0,0,0,0,6.25,6.25,0,False
37000082,0,5.0,0,0,0,0,5.5,5.5,0,False
37000083,0,6.75,0,0,0,0,9.25,9.5,7.75,False
37000084,8.6,6.5,8.8,4.75,9.0,8.5,0,0,0,True
37000085,9.0,6.5,9.0,8.75,6.25,7.0,0,0,0,True
37000086,8.4,6.75,9.4,8.25,6.25,7.5,0,0,0,True
37000087,7.4,7.25,9.2,0,0,0,0,0,0,False
37000088,7.4,7.75,9.6,9.0,4.75,6.5,0,0,0,True
37000089,7.0,7.5,0,0,0,0,7.75,7.0,9.5,False
37000090,2.8,6.25,3.0,0,0,0,6.25,6.25,6.5,False
37000091,8.2,7.5,8.8,6.25,9.25,7.0,0,0,0,True
37000092,0,6.25,0,0,0,0,6.25,7.25,0,False
37000093,7.8,7.25,0,7.75,9.25,8.0,0,0,0,True
37000094,7.8,7.25,6.0,5.25,9.0,8.0,0,0,0,True
37000095,0,5.25,0,0,0,0,7.25,6.75,0,False
37000096,8.6,7.25,6.8,5.5,9.25,9.0,0,0,0,True
37000097,8.8,7.5,0,5.5,9.5,8.5,0,0,0,True
37000098,7.4,4.25,5.8,7.25,0,0,0,0,0,True
37000099,8.0,7.75,8.6,6.0,7.0,6.75,0,0,0,True
37000100,0,4.25,0,0,0,0,4.75,6.0,0,False
37000101,0,2.5,0,0,0,0,5.25,6.0,0,False
37000103,6.6,6.25,2.6,0,0,0,6.75,6.25,6.25,False
37000104,6.4,0,5.6,3.5,3.5,0,0,0,0,True
37000105,0,6.25,0,0,0,0,0,8.0,7.25,False
37000106,8.4,0,8.8,5.75,9.25,7.5,0,0,0,True
37000107,8.6,8.75,10.0,6.25,9.0,6.0,0,0,0,True
37000108,6.8,0,6.6,6.25,0,0,0,0,0,True
37000109,0,4.25,0,0,0,0,6.5,7.25,8.0,False
37000111,6.8,8.5,6.8,0,0,0,7.25,6.0,7.5,False
37000113,3.8,8.5,7.0,0,0,0,8.0,7.5,9.0,False
37000114,0,3.0,0,0,0,0,3.0,4.75,0,False
37000115,6.2,8.0,0,0,0,0,0,0,0,False
37000116,8.0,7.75,8.8,8.5,9.5,7.25,0,0,0,True
37000117,3.2,1.75,2.6,0,0,0,3.25,3.25,4.25,False
37000118,0,5.5,0,0,0,0,8.5,8.25,0,False
37000119,3.6,4.75,3.2,0,0,0,3.75,5.5,5.25,False
37000120,8.2,7.5,6.8,5.25,9.5,9.25,0,0,0,True
37000121,0,3.25,0,0,0,0,8.25,7.5,0,False
37000123,0,5.5,0,0,0,0,4.0,5.75,0,False
37000124,6.0,7.25,2.4,0,0,0,6.0,6.25,8.75,False
37000125,5.0,7.5,3.2,0,0,0,6.5,7.25,7.75,False
37000126,7.6,8.25,4.8,4.75,7.5,7.75,0,0,0,True
37000127,0,6.5,0,0,0,0,9.0,7.5,0,False
37000128,6.6,8.0,9.4,0,0,0,7.75,8.25,8.25,False
37000129,8.4,8.25,0,0,0,0,7.5,7.25,8.75,False
37000130,8.0,8.25,8.4,6.25,7.5,8.0,0,0,0,True
37000131,8.8,8.0,8.6,7.75,9.75,9.25,0,0,0,True
37000132,8.2,7.25,9.4,7.75,7.75,7.75,0,0,0,True
37000133,8.2,6.75,9.0,7.75,6.0,7.5,0,0,0,True
37000134,8.0,8.75,7.4,0,0,0,7.25,6.5,9.0,False
37000135,0,7.75,0,0,0,0,6.75,9.0,0,False
37000136,8.8,7.0,0,5.5,9.75,9.5,0,0,0,True
37000137,8.6,6.5,8.2,7.75,8.75,5.75,0,0,0,True
37000138,6.0,9.25,9.2,0,0,0,9.75,6.75,8.75,False
37000139,3.6,6.75,1.8,0,0,0,5.0,6.0,6.75,False
37000140,8.0,7.0,6.4,7.75,8.0,6.75,0,0,0,True
37000141,0,5.5,0,0,0,0,8.25,8.25,0,False
37000142,5.0,7.0,4.2,0,0,0,6.5,8.0,8.5,False
37000143,7.0,6.0,7.6,0,0,0,0,0,0,False
37000144,6.8,6.5,0,6.75,7.25,7.75,0,0,0,True
37000145,6.6,4.5,4.2,0,0,0,0,0,0,False
37000146,2.0,2.25,0,0,0,0,3.0,0,0,False
37000147,8.4,5.0,9.4,8.25,6.75,6.25,0,0,0,True
37000148,8.8,6.25,5.8,4.5,8.5,8.25,0,0,0,True
37000149,7.0,7.0,5.8,8.75,7.75,4.75,0,0,0,True
37000151,8.6,7.75,10.0,6.25,9.75,8.0,0,0,0,True
37000152,7.4,7.25,9.8,6.0,6.0,6.0,0,0,0,True
37000153,0,6.25,0,0,0,0,6.5,7.5,0,False
37000154,9.0,6.0,7.6,7.0,5.0,5.0,0,0,0,True
37000155,6.6,7.25,4.0,6.25,5.75,7.75,0,0,0,True
37000156,3.0,6.0,2.6,0,0,0,3.5,2.25,6.0,False
37000157,7.0,8.0,3.4,0,0,0,9.0,8.5,7.75,False
37000158,7.2,0,0,7.0,6.25,0,0,0,0,True
37000159,0,5.0,0,0,0,0,5.25,7.0,0,False
37000160,0,4.5,0,0,0,0,6.0,7.25,0,False
37000161,7.4,0,0,0,4.0,5.25,0,0,0,True
37000162,7.6,6.5,7.8,7.75,7.25,5.5,0,0,0,True
37000163,7.0,5.75,0,2.25,6.75,5.25,0,0,0,True
37000164,8.8,6.5,9.0,8.75,6.5,6.5,0,0,0,True
37000165,6.6,6.25,8.2,2.0,0,0,0,0,0,True
37000166,8.6,6.75,8.4,4.25,9.5,6.5,0,0,0,True
37000167,0,6.5,0,0,0,0,9.5,9.75,0,False
37000168,8.6,7.75,8.6,7.5,8.0,4.75,0,0,0,True
